구별,면적
가평군,511674.5
과천시,315666.0
광명시,3397531.0
광주시,786484.6
구리시,912756.2999999999
군포시,1455419.2
권선구,579.7
김포시,5792950.0
남양주시,4774379.0
동두천시,3649712.0
부천시,2920135.3
시흥시,4250221.0
안성시,880564.0
양주시,2034792.0
양평군,687374.0
여주시,350087.9
연천군,237176.0
오산시,2271088.0
의왕시,2161464.2
의정부시,2249788.5
이천시,2025604.0
파주시,3820847.2
평택시,8095243.9
포천시,1825176.9000000001
하남시,1676848.0
화성시,7339437.6
고양시 덕양구,3287291.4
고양시 일산동구,2722980.0
고양시 일산서구,922486.9
성남시 분당구,7189216.899999999
성남시 수정구,2018770.5
성남시 중원구,1879880.7
수원시 권선구,1417729.9
수원시 영통구,4119807.0
수원시 장안구,651631.2
수원시 팔달구,921492.0
안산시 단원구,2860691.3
안산시 상록구,3276744.1
안양시 동안구,1149033.0
안양시 만안구,741237.0
용인시 기흥구,2678098.0
용인시 수지구,1598214.0
용인시 처인구,3105059.0
