행정구역구분명,행정구역명,인구수
시군,경기도 가평군,62197
구,경기도 고양시 덕양구,487874
구,경기도 고양시 일산동구,296590
구,경기도 고양시 일산서구,290738
시군,경기도 과천시,77775
시군,경기도 광명시,288182
시군,경기도 광주시,391704
시군,경기도 구리시,188876
시군,경기도 군포시,266531
시군,경기도 김포시,484194
시군,경기도 남양주시,737366
시군,경기도 동두천시,91735
시군,경기도 부천시,791263
구,경기도 성남시 분당구,482026
구,경기도 성남시 수정구,232125
구,경기도 성남시 중원구,206211
구,경기도 수원시 권선구,313834
구,경기도 수원시 영통구,495315
구,경기도 수원시 장안구,270524
구,경기도 수원시 팔달구,188701
시군,경기도 시흥시,512438
구,경기도 안산시 단원구,297509
구,경기도 안산시 상록구,345535
시군,경기도 안성시,189146
구,경기도 안양시 동안구,314102
구,경기도 안양시 만안구,234296
시군,경기도 양평군,122463
시군,경기도 여주시,113096
시군,경기도 연천군,42153
시군,경기도 오산시,229833
구,경기도 용인시 기흥구,438500
구,경기도 용인시 수지구,377198
구,경기도 용인시 처인구,259872
시군,경기도 의왕시,160464
시군,경기도 의정부시,463789
시군,경기도 이천시,223151
시군,경기도 파주시,494970
시군,경기도 평택시,577335
시군,경기도 포천시,147019
시군,경기도 하남시,325310
시군,경기도 화성시,907958
